timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T14:34:00.000Z";"2024-11-10T21:14:00.000Z";"2781";9.2431033555;9.57303115;8.7363259819;9.2190173516;679351456.94;5535329172.85;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T23:40:00.000Z";"2024-11-09T03:58:00.000Z";"2781";8.8589801626;9.3200859788;8.6818352575;9.2431033555;297104120.7;5549344976.35;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T00:35:00.000Z";"2024-11-08T17:32:00.000Z";"2781";8.9080766367;9.0246840494;8.550704691;8.8589801626;301906967.77;5319153817.16;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T00:17:00.000Z";"2024-11-07T06:50:00.000Z";"2781";9.3236216037;9.4886611382;8.8305468176;8.9080766367;472797909.51;5348632571.2;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T22:52:00.000Z";"2024-11-06T00:00:00.000Z";"2781";7.1921822932;9.6275524776;7.1921822932;9.3236210321;1237323327.93;5598136188.63;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T16:41:00.000Z";"2024-11-05T01:43:00.000Z";"2781";6.778767367;7.2543682445;6.7774590625;7.1921831427;135568564.76;4318366583.55;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T03:06:00.000Z";"2024-11-04T21:59:00.000Z";"2781";7.0521481495;7.1105600062;6.6318717309;6.778767367;115068647.84;4070811324.09;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:33:00.000Z";"2024-11-03T15:11:00.000Z";"2781";7.3861573423;7.4138990588;6.8501921233;7.0521481495;164333909.9;4234286572.48;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:16:00.000Z";"2024-11-02T18:16:00.000Z";"2781";7.5535975888;7.7529787571;7.3251656659;7.3861573423;121427464.86;4434834066.69;"2024-11-02T23:59:59.999Z"
"2024-11-01T00:00:00.000Z";"2024-11-01T23:59:59.999Z";"2024-11-01T15:01:00.000Z";"2024-11-01T22:34:00.000Z";"2781";7.6090825416;8.0129589835;7.5201215237;7.5535975888;229960591.09;4535369389.03;"2024-11-01T23:59:59.999Z"
"2024-10-31T00:00:00.000Z";"2024-10-31T23:59:59.999Z";"2024-10-31T00:16:00.000Z";"2024-10-31T20:02:00.000Z";"2781";8.1230244643;8.1761265736;7.4972760353;7.6090754148;160012465.72;4568683945.94;"2024-10-31T23:59:59.999Z"
"2024-10-30T00:00:00.000Z";"2024-10-30T23:59:59.999Z";"2024-10-30T21:11:00.000Z";"2024-10-30T01:19:00.000Z";"2781";7.9276028039;8.3105186128;7.8590409583;8.1230244643;202210436.27;4876269811.63;"2024-10-30T23:59:59.999Z"
"2024-10-29T00:00:00.000Z";"2024-10-29T23:59:59.999Z";"2024-10-29T21:16:00.000Z";"2024-10-29T00:10:00.000Z";"2781";7.7787913402;7.9988540139;7.7686566401;7.9276028039;177399946.6;4758957750.41;"2024-10-29T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-10-28T23:59:59.999Z";"2024-10-28T23:59:00.000Z";"2024-10-28T05:37:00.000Z";"2781";7.5290803782;7.7791417825;7.3188735503;7.7787913402;159160940.6;4669625894.87;"2024-10-28T23:59:59.999Z"
"2024-10-27T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-27T04:08:00.000Z";"2024-10-27T14:34:00.000Z";"2781";7.4321201924;7.7748059869;7.3721904029;7.5290803782;128032584.04;4519667376.02;"2024-10-27T23:59:59.999Z"
"2024-10-26T00:00:00.000Z";"2024-10-26T23:59:59.999Z";"2024-10-26T03:31:00.000Z";"2024-10-26T15:19:00.000Z";"2781";7.3998206214;7.7530995661;7.3037685029;7.4321201924;183484393.45;4461473822.11;"2024-10-26T23:59:59.999Z"
"2024-10-25T00:00:00.000Z";"2024-10-25T23:59:59.999Z";"2024-10-25T03:26:00.000Z";"2024-10-25T23:26:00.000Z";"2781";8.0281823308;8.1527465449;7.2697145882;7.3997943057;255495426.99;4442073423.46;"2024-10-25T23:59:59.999Z"
"2024-10-24T00:00:00.000Z";"2024-10-24T23:59:59.999Z";"2024-10-24T13:46:00.000Z";"2024-10-24T00:29:00.000Z";"2781";7.850819645;8.1927608663;7.8420241783;8.0281556641;166886442.23;4819259646.86;"2024-10-24T23:59:59.999Z"
"2024-10-23T00:00:00.000Z";"2024-10-23T23:59:59.999Z";"2024-10-23T00:10:00.000Z";"2024-10-23T18:32:00.000Z";"2781";7.994322707;8.0090654894;7.501517694;7.8009222858;205492424.2;4682852644.23;"2024-10-23T23:59:59.999Z"
"2024-10-22T00:00:00.000Z";"2024-10-22T23:59:59.999Z";"2024-10-22T06:44:00.000Z";"2024-10-22T00:42:00.000Z";"2781";7.7937929374;8.3450964214;7.7249790349;7.994322707;489015364.03;4798949900.52;"2024-10-22T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-21T23:59:59.999Z";"2024-10-21T22:16:00.000Z";"2024-10-21T13:56:00.000Z";"2781";7.7530982363;7.9411126124;7.4359916965;7.7938417496;168170467.49;4678572933.86;"2024-10-21T23:59:59.999Z"
"2024-10-20T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T23:16:00.000Z";"2024-10-20T03:11:00.000Z";"2781";7.3223471524;7.7541328193;7.2948161007;7.7531285393;177519816.28;4654144118.71;"2024-10-20T23:59:59.999Z"
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T03:22:00.000Z";"2024-10-19T22:28:00.000Z";"2781";7.4609964635;7.5856637597;7.3169010338;7.3223471524;92745628.97;4395566507.19;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T08:49:00.000Z";"2024-10-18T01:01:00.000Z";"2781";7.342694623;7.5029976305;7.3366870084;7.4609964635;121788460.76;4478796959.91;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T04:10:00.000Z";"2024-10-17T18:15:00.000Z";"2781";7.5737536706;7.6556979291;7.2187216742;7.3428670558;135958811.21;4407780986.87;"2024-10-17T23:59:59.999Z"
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T03:26:00.000Z";"2024-10-16T23:52:00.000Z";"2781";7.8412256415;7.9948126779;7.5680143293;7.5737536706;160351256.37;4546484518.6;"2024-10-16T23:59:59.999Z"
